	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-RPL10	PI	I	I	I	L	I	I	I
gene-CDC26	I	I	I	I	I	I	I	I
gene-MEX3B	I	I	I	I	I	I	I	I
gene-NKX2-2	I	I	I	I	I	I	I	I
gene-SOCS1	I	I	I	I	I	I	I	I
gene-LOC122460776	PI	I	I	I	I	I	I	I
gene-LOC119856572	I	UL	I	I	I	I	I	UL
gene-TBPL2	I	I	I	I	I	I	I	I
gene-LOC119843319	I	I	I	I	I	UL	I	UL
gene-GPKOW	I	I	PM	I	M	UL	UL	I
gene-LOC119848910	I	I	PI	I	PI	I	UL	I
gene-KLF6	I	I	I	I	I	I	I	I
gene-LAMP3	I	I	I	I	I	I	I	I
gene-PTBP3	I	PI	I	PI	I	I	I	I
gene-MEF2B	I	I	I	I	I	I	I	I
gene-ITGB4	I	I	I	I	I	PI	I	I
gene-MARCHF4	I	I	I	I	I	I	UL	I
gene-LOC119854634	I	I	I	I	I	I	I	I
gene-LOC119857180	PI	UL	PM	UL	PI	PM	PI	PM
gene-SSU72	I	I	I	I	I	I	I	I
gene-LOC119849244	M	M	PG	L	PI	UL	I	M
gene-PTP4A1	I	I	I	I	I	I	I	I
gene-AP1G2	UL	M	L	PI	UL	I	L	PI
gene-NPBWR2	I	I	I	I	I	I	I	I
gene-SLC51B	I	I	I	I	I	I	UL	I
gene-PIP5K1B	I	I	I	I	PI	I	I	I
gene-AAMDC	I	I	I	I	I	I	I	I
gene-LOC119856362	PI	PI	PI	I	I	I	I	I
gene-KLHL2	I	PI	I	I	I	I	I	I
gene-EGLN3	I	I	I	I	I	I	I	I
gene-HTR4	I	I	I	I	I	I	I	I
gene-PDIK1L	I	I	I	I	I	I	I	I
gene-GGNBP2	I	I	I	I	I	I	I	I
gene-TXNDC9	I	I	I	I	I	I	I	I
gene-SEC13	I	I	I	I	I	I	I	I
gene-DNAH10	I	I	PI	I	I	I	UL	I
gene-HIF1A	I	I	PI	I	I	I	I	I
gene-FOXB1	I	I	I	I	I	I	I	I
gene-LPAR3	I	I	I	I	I	I	I	I
gene-LOC119855416	I	L	I	I	I	I	I	I
gene-CHMP7	I	I	I	I	I	I	UL	I
gene-JCHAIN	I	I	I	I	I	I	I	I
gene-CRYBA4	L	I	UL	UL	I	I	I	I
gene-PPEF2	I	I	I	I	I	I	I	I
gene-NRP2	I	I	I	I	I	I	I	I
gene-SLC25A44	I	I	I	I	I	I	I	I
gene-TRAPPC8	I	I	I	I	I	I	I	UL
gene-CORIN	I	I	PI	I	I	I	I	I
gene-REC114	I	PI	I	I	I	I	I	I
gene-THBS4	I	I	I	I	I	I	I	I
gene-GAA	I	I	I	I	I	I	I	I
gene-WDR61	I	I	I	I	I	I	I	I
gene-LOC119847971	PI	L	I	I	UL	L	L	I
gene-ALKBH6	I	I	I	I	I	I	I	I
gene-ALLC	UL	UL	UL	UL	UL	UL	UL	UL
gene-RASL10A	L	M	I	L	I	L	L	L
gene-CHMP1A	UL	I	UL	UL	UL	I	UL	UL
gene-PTRH1	I	I	I	I	I	I	UL	I
gene-THUMPD1	I	I	I	I	I	I	UL	I
gene-GPAM	I	I	I	I	I	I	I	I
gene-STT3A	I	I	I	I	I	I	I	I
gene-PCYT1A	I	I	I	I	I	I	I	I
gene-EPO	L	M	PM	I	PI	I	I	I
gene-ADCK5	I	I	I	I	PI	I	UL	I
gene-TSEN34	I	I	I	I	PI	I	L	I
gene-RAB3D	I	I	UL	I	I	I	I	I
gene-CYS1	I	I	I	UL	I	UL	I	I
gene-LAMC3	I	I	I	I	I	I	UL	I
gene-LOC119847603	L	L	I	L	UL	UL	L	L
gene-NOM1	I	I	I	I	PI	I	UL	I
gene-TTC34	I	I	I	I	I	I	UL	PI
gene-SNX13	I	I	I	I	I	I	I	I
gene-YTHDC1	I	I	I	I	I	I	I	I
gene-LOC119857477	I	I	I	UL	I	I	I	UL
gene-LOC119847714	UL	I	I	UL	UL	UL	UL	UL
gene-ANXA3	I	I	I	I	I	I	I	UL
gene-RBM5	I	I	I	UL	I	I	UL	UL
gene-SYNPR	I	I	I	I	I	I	I	I
gene-EPGN	I	I	I	I	I	UL	I	I
gene-NCKAP1L	PI	I	PI	I	UL	PI	I	I
gene-DENND1C	PI	I	I	I	I	I	I	I
gene-CCDC6	I	I	I	PI	I	PI	I	I
gene-LOC119846155	I	I	PM	I	UL	I	I	I
gene-TTC8	I	PI	I	I	I	I	I	I
gene-MSR1	I	L	I	I	PI	I	L	I
gene-LOC119858426	L	L	L	L	L	L	L	L
gene-LOC122455602	L	UL	L	M	L	L	L	L
gene-ACTA1	I	I	I	I	I	I	I	I
gene-CXCR5	I	I	I	I	I	I	I	I
gene-LOC119851767	L	L	L	L	L	L	L	L
gene-OPRM1	UL	I	UL	UL	UL	I	I	I
gene-LOC119842395	I	L	I	I	L	I	L	L
gene-LOC122455390	I	I	I	I	I	UL	I	I
gene-MAD2L1	I	I	I	I	I	I	I	I
gene-BARD1	I	I	I	I	I	I	UL	I
gene-TTC32	I	I	I	I	I	I	I	I
gene-CXCR4	I	I	I	I	I	I	I	I
gene-LOC119841948	I	I	L	I	UL	L	I	I
gene-MAK	I	I	I	I	I	I	I	I
gene-LOC119848344	I	M	PI	I	I	I	I	I
gene-IGF1R	I	UL	I	I	I	I	I	I
gene-SUDS3	I	I	I	I	I	I	I	I
gene-IL34	I	I	I	I	I	I	I	I
gene-LOC119860329	I	I	I	I	I	I	I	I
gene-ATP6AP2	I	I	I	PI	I	I	I	I
gene-TNFRSF13C	I	I	I	I	I	I	I	I
gene-LOC119857280	I	L	I	L	I	L	UL	L
gene-LOC119842646	I	I	I	I	I	I	I	I
gene-CCN3	I	I	PI	I	I	I	I	I
gene-ASCL3	I	I	I	I	I	I	I	I
gene-BRAF	I	I	I	I	I	I	I	I
gene-CCDC59	I	I	I	I	I	I	I	I
gene-LOC119849407	L	M	UL	L	PM	L	L	L
gene-SGSH	I	I	I	I	UL	I	I	I
gene-CNGB1	UL	UL	I	I	I	I	I	I
gene-PSMC2	I	I	I	I	I	I	UL	I
gene-NRAS	I	I	I	I	I	I	I	I
gene-ARHGEF10	I	UL	I	I	I	I	UL	I
gene-NIBAN3	I	L	I	L	I	I	I	I
gene-EN1	I	I	I	I	I	I	UL	I
gene-SLC36A4	I	I	I	I	I	I	I	I
gene-ANGEL2	I	I	I	I	I	I	I	I
gene-ETV3L	I	I	I	I	PI	I	UL	I
gene-KCNQ2	I	I	I	I	I	I	UL	I
gene-ZNF750	I	I	I	I	I	I	I	I
gene-COPS3	I	I	I	I	I	I	I	I
gene-LOC119849337	M	L	M	I	I	UL	UL	I
gene-SHCBP1	I	I	I	I	I	I	I	I
gene-LOC122457315	I	L	UL	I	I	I	L	I
gene-LOC119842506	I	M	I	L	I	L	I	UL
gene-LOC119843755	UL	I	I	I	I	PI	I	I
gene-ZBTB45	I	I	I	I	I	M	UL	I
gene-UBE2T	UL	I	I	I	I	I	I	I
gene-LOC122457020	I	UL	UL	I	I	UL	UL	UL
gene-TNFRSF21	I	I	I	I	I	UL	L	UL
gene-LOC119849259	M	M	L	UL	M	M	PG	L
gene-IDUA	I	I	I	I	I	I	I	PI
gene-LOC119845424	L	L	I	L	I	I	L	I
gene-INPP5F	I	I	I	I	I	I	I	I
gene-NOC2L	I	I	I	I	I	I	I	I
gene-LOC119843664	I	I	I	I	I	I	I	I
gene-PRKRA	I	I	I	I	I	I	I	I
gene-VIPR2	UL	UL	UL	I	UL	UL	I	UL
gene-ALDH7A1	I	I	I	I	I	I	I	I
gene-TMEM200A	I	I	I	I	I	I	I	I
gene-TMEM178B	I	I	I	PI	I	I	I	I
gene-PCOLCE2	I	I	I	I	I	I	I	I
gene-LOC119860479	I	I	I	I	I	I	I	I
gene-LOC119848951	UL	PI	UL	I	I	PM	UL	L
gene-MAX	I	I	I	I	I	I	I	I
gene-ASB7	I	I	I	I	I	I	I	I
gene-BRS3	I	I	I	I	I	I	I	I
gene-HCN4	I	PI	I	I	I	I	I	I
gene-FCSK	I	PI	I	I	I	I	UL	I
gene-LOC119855964	I	I	I	I	PI	I	I	I
gene-CRYBA2	I	I	I	I	PI	I	I	I
gene-FILIP1L	I	I	I	I	I	I	UL	I
gene-EEF1D	I	I	I	I	I	I	I	I
gene-STAB1	I	PI	I	I	PI	I	I	I
gene-BAMBI	I	I	I	I	I	I	I	I
gene-ASIC1	I	I	I	I	I	I	I	I
gene-TACR1	I	I	PI	I	I	I	UL	I
gene-CCDC83	I	I	I	I	I	I	I	I
gene-CRBN	I	PI	I	I	I	I	I	I
gene-B4GAT1	I	I	I	I	I	M	I	I
gene-SYT12	I	I	I	I	I	I	I	I
gene-SLC16A8	I	I	I	I	I	I	I	I
gene-LOC119858198	I	I	I	I	I	I	UL	I
gene-TP73	I	I	I	I	I	I	I	I
gene-FAM189B	I	UL	I	I	I	I	I	I
gene-COL4A5	I	I	I	I	I	I	I	I
gene-LOC119863626	I	I	I	I	I	I	I	I
gene-LOC119853662	I	I	I	I	I	I	I	I
gene-LOC119847989	I	I	I	I	I	M	I	I
gene-VXN	I	I	I	I	I	I	I	I
gene-FASN	I	I	I	I	I	I	UL	I
gene-ADIPOR2	PI	I	I	I	I	I	I	I
gene-WNT7A	I	I	I	I	I	I	UL	I
gene-TMEM67	I	I	I	I	I	I	I	I
gene-LOC119858031	PI	I	I	I	I	I	I	I
gene-LOC119854426	I	I	I	I	I	I	I	I
gene-SALL3	I	I	I	I	I	I	I	I
gene-LOC119862273	I	I	I	I	I	I	I	I
gene-LOC119845962	PM	L	L	L	M	L	L	L
gene-LPCAT4	UL	PI	PI	I	PI	I	UL	I
gene-CHRNA5	I	PI	I	I	I	I	UL	I
gene-DLG5	I	I	I	I	I	I	I	I
gene-SLC35B4	I	PI	I	I	I	UL	I	I
gene-THBS2	I	I	I	I	I	I	I	I
gene-LOC119850974	I	M	I	M	I	I	I	M
gene-TNNC1	I	I	I	I	I	I	I	I
gene-DCAF15	I	I	PI	I	I	I	UL	I
gene-SLC49A4	I	I	I	I	I	I	UL	I
gene-SPRY1	I	I	I	I	I	I	I	I
gene-LOC119857958	I	UL	I	I	I	I	I	I
gene-PSMG3	I	I	I	I	I	I	I	I
gene-RCVRN	I	I	I	I	PM	I	I	I
gene-PSMD12	I	I	I	I	I	I	I	I
gene-INA	L	L	L	L	UL	L	L	L
gene-LOC119854559	I	I	I	I	I	I	I	I
gene-GPS2	PG	PG	PG	UL	PM	I	I	L
gene-CCR6	I	I	I	I	I	I	I	I
gene-PRPF38B	I	I	I	I	I	I	I	I
gene-CSNK1G1	I	I	I	I	I	I	UL	I
gene-EMC10	L	I	PI	I	PM	PM	I	L
gene-GALNT2	I	I	I	I	I	I	I	I
gene-SLC26A2	I	I	I	I	I	I	I	I
gene-SDAD1	I	I	I	I	I	I	I	I
gene-GORASP1	I	I	I	I	I	I	I	I
gene-RER1	I	I	I	I	I	I	I	I
gene-ZNF512B	I	I	I	I	I	I	I	I
gene-LOC119841952	I	I	I	I	I	I	I	I
gene-VARS2	I	PI	I	I	I	I	I	I
gene-PTPN23	UL	I	PI	I	I	I	UL	I
gene-MOSPD2	I	UL	UL	I	UL	I	I	UL
gene-LOC119842158	I	I	PI	I	I	I	I	I
gene-ANKRD40	I	I	I	I	I	I	I	I
gene-NDUFV1	I	UL	I	I	I	I	I	I
gene-LOC119851025	I	I	I	I	I	I	UL	I
gene-MRPS16	I	I	I	I	I	I	I	I
gene-LOC119845487	L	L	L	L	L	L	L	L
gene-BSCL2	I	I	I	I	I	I	I	I
gene-LOC119848728	I	I	I	I	I	I	I	L
gene-LRRC39	I	I	I	UL	I	I	I	I
gene-PPM1E	I	I	I	I	I	I	I	I
gene-NGLY1	I	I	I	I	I	I	I	I
gene-KIAA0319	I	I	I	I	I	I	I	I
gene-RNFT2	I	I	I	I	I	I	I	I
gene-LOC119841041	UL	UL	I	I	I	UL	UL	UL
gene-LOC119861325	I	L	I	L	I	UL	L	I
gene-ANGPTL6	I	UL	PM	I	PM	UL	I	I
gene-AQP9	I	I	I	I	I	I	I	I
gene-ADGRB1	I	I	PI	I	I	PI	UL	I
gene-LOC119861278	I	I	I	I	I	I	UL	I
gene-PPIL1	I	I	I	I	I	I	I	I
gene-WASF3	I	I	I	I	I	PI	I	I
gene-TMED10	I	I	UL	UL	UL	UL	UL	UL
gene-LETMD1	I	I	I	I	I	I	I	I
gene-SCAF8	UL	UL	I	UL	PI	UL	UL	UL
gene-LOC119852524	I	I	I	I	I	I	I	I
gene-CHUK	I	I	I	I	I	I	I	I
gene-PCMT1	I	I	I	I	I	I	I	I
gene-AP1M1	I	I	PI	I	I	I	I	I
gene-LOC119856209	I	PI	I	I	PI	I	UL	I
gene-LOC119848868	UL	UL	PI	I	I	UL	I	UL
gene-TNNC2	I	I	I	I	I	I	I	I
gene-LTK	I	I	I	I	PI	PI	I	I
gene-CDH4	I	I	I	I	I	I	UL	I
gene-ZNF185	UL	UL	I	PI	I	PI	UL	I
gene-NDE1	I	I	I	I	I	I	I	I
gene-CCDC125	I	I	I	I	I	I	I	I
gene-GPR39	I	I	PI	I	I	I	I	I
gene-FAM110D	I	I	I	I	I	I	I	I
gene-SOX11	I	I	I	I	I	I	I	I
gene-CARNS1	I	I	I	I	PI	I	I	I
gene-ADIPOR1	I	I	I	I	I	I	UL	I
gene-LMBR1	I	I	I	I	I	UL	I	I
gene-MRPS7	I	I	I	I	I	I	I	I
gene-NT5DC1	I	UL	I	I	I	I	I	I
gene-PGGT1B	UL	UL	I	UL	I	UL	UL	UL
gene-KCNK18	I	I	I	I	I	I	I	I
gene-TNFSF11	I	I	I	I	I	I	I	I
gene-UROC1	I	I	I	I	I	I	I	I
gene-LOC119848808	I	I	I	I	I	I	UL	I
gene-LOC119860563	UL	M	PI	M	I	M	L	L
gene-LOC119852322	UL	PG	I	L	I	L	I	L
gene-NOXRED1	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119858364	I	I	I	I	I	I	I	I
gene-SLC25A5	I	I	I	I	I	I	I	I
gene-GALNT10	PI	I	PI	I	PI	I	I	I
gene-PDZD11	I	I	I	I	I	I	I	I
gene-HSPBP1	PM	I	PM	I	PM	I	I	PI
gene-PLXNA1	I	I	I	I	I	I	UL	I
gene-LOC119849444	PI	UL	PI	I	I	I	I	I
gene-LOC122459252	I	I	I	I	I	I	I	I
gene-SLC7A2	I	I	I	I	I	I	I	I
gene-CD164	I	I	I	I	I	I	I	I
gene-ALMS1	I	I	I	I	I	I	I	I
gene-C8H5orf47	I	I	I	I	I	UL	I	UL
gene-ZNF638	I	UL	I	I	I	I	I	I
gene-LOC119848521	I	I	I	I	I	I	I	I
gene-LOC122460854	I	I	I	I	I	I	I	I
gene-HUNK	I	I	I	I	I	I	I	I
gene-GDPD5	I	I	I	I	I	I	I	I
gene-LOC122458131	UL	L	UL	L	L	L	L	L
gene-LOC119843711	I	I	I	I	I	I	I	I
gene-LOC122455406	I	M	I	I	I	I	I	I
gene-LOC119852598	PI	I	I	I	PM	I	I	PI
gene-LOC119857254	I	L	I	L	L	L	UL	L
gene-OSGIN1	I	PI	I	I	I	I	I	I
gene-KLHL3	I	I	I	I	I	I	I	I
gene-LOC119860921	I	I	I	I	I	I	I	I
gene-EDEM1	UL	I	PI	PI	I	I	I	PI
gene-ALDH3B1	PI	PI	PM	I	PM	I	UL	I
gene-NDUFB5	I	I	I	I	I	PI	I	I
gene-RSF1	I	PI	I	I	I	I	I	I
gene-LOC119844243	I	I	I	I	I	I	I	I
gene-LOC119843474	I	I	I	I	I	I	UL	I
gene-LOC119841848	I	L	I	I	I	I	I	I
gene-HTR6	I	I	I	I	I	I	UL	I
gene-KCTD8	I	I	I	I	I	I	I	I
gene-NDUFA1	I	I	I	I	I	I	I	I
gene-ZCCHC14	I	I	I	I	I	I	I	I
gene-ERGIC2	I	I	I	I	I	I	I	I
gene-PRKD3	I	I	I	I	PI	I	I	I
gene-LOC119842139	I	I	I	I	I	I	I	I
gene-S100A1	I	I	I	I	I	I	I	I
gene-MTOR	I	I	PI	I	I	I	UL	I
gene-EARS2	I	I	I	I	I	I	UL	I
gene-LOC119853347	I	I	I	I	I	I	I	I
gene-BAG1	I	I	I	I	I	I	I	I
gene-NXT2	I	I	I	I	I	I	I	I
gene-LOC119854681	UL	I	I	UL	I	UL	UL	UL
gene-POLA1	PI	I	I	I	I	I	UL	I
gene-IMPA2	I	I	I	I	I	I	I	I
gene-OPTC	I	I	I	I	I	I	I	I
gene-LOC119856809	I	I	I	I	UL	I	I	I
gene-NIPAL4	I	I	I	I	I	I	I	I
gene-LOC119847754	I	I	I	I	I	I	I	I
gene-RAB40B	I	I	I	I	I	I	I	I
gene-LOC119841306	L	PG	L	M	L	PG	I	PG
gene-SLC4A9	I	PI	PI	I	PI	I	I	I
gene-LIPT1	I	I	I	I	I	I	I	I
gene-EEF1A1	I	I	I	I	I	I	I	I
gene-TNIP2	I	PI	I	I	I	I	I	I
gene-NUBP2	I	I	I	I	I	I	I	I
gene-VMA21	I	I	I	I	I	I	I	I
gene-TRAPPC4	I	I	I	I	I	I	I	I
gene-LOC119846403	I	I	I	I	I	I	I	I
gene-LOC119847157	I	I	I	I	M	I	I	I
gene-SMARCD2	PI	I	PI	I	I	I	I	I
gene-FBXO15	I	I	PI	UL	I	I	I	I
gene-ATP4A	I	PI	PI	I	I	I	I	I
gene-LOC119847883	L	PM	UL	UL	I	UL	PM	UL
gene-ZFYVE9	I	I	I	I	I	I	I	I
gene-LOC119846917	I	I	PI	I	I	I	I	PI
gene-KBTBD3	I	I	I	I	I	I	I	I
gene-ZBTB41	I	I	I	I	I	I	UL	I
gene-CRACD	I	I	I	PI	PI	I	I	PI
gene-STXBP6	I	I	PI	I	I	I	I	I
gene-LOC119863234	I	M	I	M	I	M	L	M
gene-RANBP3L	I	I	I	I	I	I	I	I
gene-POLR1B	I	I	I	I	I	I	I	I
gene-FAM120C	PI	I	I	UL	I	UL	UL	I
gene-LOC119841653	I	PI	I	L	I	PI	I	I
gene-SMIM4	I	I	I	I	I	I	I	I
gene-LIN7A	I	I	I	I	I	I	I	I
gene-ERF	I	I	I	UL	I	L	UL	PM
gene-LOC119856518	I	I	I	I	UL	L	I	I
gene-LOC119858833	I	I	I	I	I	PI	I	I
gene-UTP4	I	I	I	I	I	I	UL	I
gene-FOXA1	I	I	I	I	I	I	I	I
gene-LOC119843280	L	L	I	L	M	M	L	UL
gene-LOC119842322	I	L	I	I	I	I	I	I
gene-LOC119847491	I	I	I	I	I	I	I	I
gene-SCTR	I	I	I	I	I	I	I	I
gene-HAT1	I	I	I	I	I	I	I	I
gene-LPIN2	I	I	I	I	I	I	I	I
gene-HDGFL3	UL	I	I	I	I	I	I	I
gene-C4H4orf48	I	UL	I	UL	PI	UL	UL	UL
gene-TRPV1	I	I	I	I	I	I	I	I
gene-OVOL1	I	I	PI	I	I	I	I	I
gene-ARPC3	I	I	I	I	I	I	I	I
gene-LOC122457424	I	I	I	I	I	I	I	UL
gene-TMEM168	I	I	I	I	I	I	I	I
gene-CYFIP2	I	PI	I	I	I	I	I	I
gene-ACADS	I	I	I	I	I	I	I	I
gene-LOC119859033	I	L	PI	I	I	I	UL	I
gene-NDFIP1	I	I	I	I	I	I	I	I
gene-DNAI3	PI	I	I	I	I	I	I	I
gene-RPE65	I	I	I	I	I	I	I	I
gene-ANO6	I	UL	I	UL	I	UL	UL	UL
gene-LOC119843245	I	I	PI	I	I	I	I	I
gene-LOC119860513	I	I	I	I	I	I	I	I
gene-LOC119848611	I	L	I	I	I	I	I	I
gene-RPL13A	PI	UL	PM	I	PM	I	UL	I
gene-LOC119843074	I	M	I	I	I	I	I	I
gene-LONRF1	I	I	PI	I	I	I	I	I
gene-LOC119842277	I	I	I	I	I	I	I	I
gene-LOC119841596	I	I	I	I	I	I	I	I
gene-TCEA3	I	I	I	I	I	UL	L	UL
gene-TMIE	I	I	I	I	I	I	I	I
gene-LOC119848037	UL	UL	L	L	L	L	L	L
gene-CD200R1	I	I	I	I	UL	I	I	I
gene-EQTN	UL	UL	I	UL	I	I	UL	I
gene-SMNDC1	I	I	I	I	I	I	I	I
gene-DNHD1	L	PI	UL	I	UL	UL	UL	I
gene-GRAMD2A	I	I	UL	I	PI	PI	UL	I
gene-LYPD6	I	I	I	I	I	I	I	I
gene-MRPL1	I	I	I	I	I	I	I	I
gene-LOC122455862	I	I	I	I	PI	I	I	I
gene-LOC119859307	I	I	I	I	PI	I	I	I
gene-ZBTB25	I	I	I	I	I	I	I	I
gene-GPRC6A	I	I	I	I	I	I	I	I
gene-LOC119860142	I	I	I	I	I	I	I	I
gene-LOC119842189	I	L	I	I	I	I	M	I
gene-WNT2	I	I	I	I	I	PI	I	I
gene-LOC119859956	L	L	L	M	M	L	UL	M
gene-LOC119856554	I	L	UL	L	UL	L	L	UL
gene-C1H12orf40	I	I	I	I	I	I	I	I
gene-MAML2	I	I	I	I	I	I	I	I
gene-TRIM62	PI	I	PI	I	PI	I	UL	I
gene-ART1	UL	I	I	UL	I	UL	I	UL
gene-LOC122456678	L	M	L	I	I	L	L	L
gene-DTHD1	I	I	I	UL	I	I	I	I
gene-LOC119842272	PI	PI	PI	L	I	UL	I	UL
gene-XKR9	I	I	I	I	I	I	I	I
gene-LOC122460752	I	M	I	L	L	PI	L	UL
gene-ST3GAL6	I	I	I	I	I	I	I	I
gene-LOC119844510	I	I	PI	I	I	I	I	I
gene-LOC119843293	PM	L	L	UL	PM	L	I	I
gene-PYM1	I	I	I	I	I	I	I	I
gene-ASPSCR1	I	I	I	PI	I	I	I	I
gene-FGF12	I	I	I	I	PI	I	I	I
gene-UTP20	I	I	I	I	I	I	UL	I
gene-MPV17L	I	I	I	I	PI	I	I	I
gene-NPTN	UL	PI	PI	UL	PI	PI	UL	UL
gene-PLP1	I	I	I	I	I	I	I	I
gene-PHLDA2	I	I	I	I	I	I	I	I
gene-ARFGAP3	I	I	I	I	I	I	I	I
gene-PPARGC1A	I	I	I	I	I	I	I	I
gene-FBXL15	UL	UL	UL	I	UL	I	UL	UL
gene-NAPSA	L	M	L	I	PM	M	UL	PM
gene-LOC119847460	L	UL	I	L	L	L	UL	UL
gene-SNTB2	I	I	I	I	I	PI	I	I
gene-CCDC116	I	I	I	I	I	I	I	I
gene-LOC119856509	M	M	I	I	I	M	I	M
gene-C1QTNF2	I	I	I	I	I	I	I	I
gene-LOC122455497	I	PI	I	I	I	I	UL	I
gene-ERGIC3	I	I	I	I	I	PI	I	I
gene-CCNA2	I	I	I	I	I	I	I	I
gene-MYNN	I	I	I	I	I	I	I	I
gene-LOC119841164	I	I	I	I	I	I	I	I
gene-AIMP1	I	I	I	I	I	I	I	I
gene-ADAMTSL1	I	I	I	I	I	PI	UL	I
gene-LOC119854614	I	UL	M	M	M	UL	UL	L
gene-CCDC89	I	I	I	I	I	I	I	I
gene-SYN2	I	I	I	I	PI	I	I	I
gene-YTHDC2	I	I	I	I	PI	PI	I	I
gene-NKX6-2	I	I	I	I	I	I	I	I
gene-CACFD1	I	I	I	I	I	I	I	I
gene-LOC119842929	I	I	I	I	I	I	UL	I
gene-SLC39A14	I	I	PI	I	I	I	I	I
gene-PAPOLG	I	I	I	I	I	I	I	I
gene-LOC119861256	L	L	L	L	L	L	L	L
gene-KIDINS220	I	I	I	I	PI	I	I	I
gene-EZR	I	I	I	I	I	I	I	I
gene-ERMP1	I	I	I	I	I	I	I	I
gene-FOSL2	I	I	I	I	I	I	I	I
gene-RNF130	I	I	I	I	I	I	I	I
gene-ZFYVE1	I	I	I	UL	I	I	I	I
gene-OTUD4	I	I	I	I	I	I	I	I
gene-PITPNA	UL	UL	UL	UL	I	UL	UL	UL
gene-LOC119863412	I	I	I	I	I	I	UL	I
gene-RPA1	I	I	I	I	PI	I	UL	I
gene-ANKRD16	I	I	M	I	I	I	I	I
gene-PDHB	I	I	I	I	I	I	I	I
gene-LSS	PI	I	UL	I	PI	I	UL	I
gene-LRRC8C	I	I	I	I	I	I	I	I
gene-HMX3	I	I	I	I	I	I	I	I
gene-COG6	I	I	I	I	I	I	I	I
gene-LOC119845253	I	I	I	PI	I	I	I	I
gene-CNTNAP2	I	PI	M	I	I	I	I	I
gene-LOC122460908	UL	UL	UL	I	I	I	UL	I
gene-ETV4	I	I	I	I	I	PI	I	I
gene-OPA3	I	I	PI	M	I	I	I	I
gene-GLP2R	I	I	PI	I	PI	I	I	I
gene-IFI30	I	PI	I	I	I	I	I	I
gene-LOC119850986	I	I	I	I	PI	I	I	I
gene-NAA25	I	I	I	I	I	I	I	I
gene-EME1	I	I	I	I	I	PI	I	I
gene-GIPC2	UL	UL	I	I	UL	UL	I	I
gene-LOC119850999	I	I	I	I	I	I	I	I
gene-TTC13	UL	UL	UL	UL	UL	UL	UL	UL
gene-KCTD14	I	I	I	I	I	I	I	I
gene-PEF1	I	I	I	I	I	I	I	I
gene-ADIRF	I	I	I	I	I	I	I	I
gene-SHFL	I	M	UL	I	PI	I	I	I
gene-FGF19	I	I	I	I	I	I	I	I
gene-GAN	I	I	I	I	I	I	I	I
gene-TTC4	I	I	I	I	I	I	I	I
gene-HSD17B8	PI	PI	PI	I	PI	I	UL	I
gene-LOC119859382	I	I	M	I	I	I	I	I
gene-CD74	I	I	I	I	I	I	UL	I
gene-LOC119852809	PI	UL	PI	I	I	I	I	I
gene-PIH1D2	I	I	I	I	I	I	I	I
gene-LOC119861161	I	I	I	I	I	I	UL	I
gene-SNX32	I	UL	I	I	I	I	I	I
gene-CCNI	I	I	I	I	I	I	I	I
gene-LOC119847405	I	I	I	I	I	I	I	L
gene-LGMN	I	I	I	I	I	I	I	I
gene-IFNGR1	I	I	I	I	I	I	I	I
gene-ZNF608	I	I	I	I	I	I	I	PI
gene-CS	I	I	I	I	I	I	I	I
gene-PLEKHH1	I	I	I	I	I	I	I	I
gene-C10H7orf50	I	I	I	I	I	I	I	I
gene-LOC119862701	UL	UL	L	I	L	L	L	UL
gene-PLD4	I	I	I	I	I	I	I	I
gene-COQ7	I	I	I	I	I	I	I	I
gene-ITGA11	I	I	I	I	I	I	I	I
gene-ALPK3	I	I	I	I	I	I	I	I
gene-TBX15	I	I	I	I	I	I	UL	I
gene-CPA6	I	I	I	I	PI	I	UL	I
gene-RNF216	I	I	I	I	I	I	I	I
gene-RFC2	I	I	I	I	I	I	I	PI
gene-SLC23A3	I	PI	I	I	I	PI	I	I
gene-LOC122457306	M	I	I	I	I	I	I	I
gene-TIGD3	I	I	I	I	UL	I	I	I
gene-TRIM16	I	I	I	I	I	I	I	I
gene-SAE1	I	PI	I	PI	UL	I	UL	UL
gene-PLIN2	I	I	I	I	I	I	I	I
gene-PPP2R3C	I	I	I	I	I	I	I	I
gene-RHEB	I	I	I	I	I	I	I	I
gene-COL9A2	UL	UL	UL	UL	UL	UL	UL	UL
gene-HECTD3	I	PI	PI	I	PI	PI	I	I
gene-ANKRD13D	I	I	I	I	I	I	UL	I
gene-SATB2	I	I	I	PI	I	I	I	I
gene-LOC119841669	I	I	PI	I	I	I	I	I
gene-FIS1	PM	I	UL	I	UL	I	I	I
gene-CGREF1	PI	PI	PI	I	I	I	I	I
gene-LOC119852971	UL	UL	UL	PI	I	I	UL	I
gene-TSPAN13	I	I	I	I	I	I	I	I
gene-DNAJC4	I	I	I	I	I	I	I	I
gene-NFKBID	I	I	I	I	UL	UL	I	PI
gene-UBA1	UL	I	PM	I	UL	UL	I	I
gene-LOC122455416	L	I	UL	L	I	M	L	M
